diagnosis_id,condition_name,thai_name,icd_code,category,common_symptoms,risk_factors,diagnostic_criteria,differential_diagnosis,complications,typical_age_group,gender_preference,severity_levels
1,Polyarthrosis,ข้ออักเสบหลายข้อ,M15,Musculoskeletal,"ปวดข้อหลายข้อ ข้อแข็ง บวม",อายุ อ้วน ใช้ข้อมาก,ปวดข้อหลายข้อ + X-ray,ข้ออักเสบรูมาตอยด์ เก็าต์,พิการ ปวดเรื้อรัง,50+ ปี,หญิงมากกว่าชาย,เบา กลาง
2,Viral conjunctivitis,ตาแดงจากไวรัส,B30,Eye,"ตาแดง น้ำตาไหล ตาคัน",สัมผัสผู้ป่วย ไม่สุขอนามัย,ตาแดง + มีน้ำใส,ตาแดงจากแบคทีเรีย แพ้,กระจกตาอักเสบ,ทุกวัย,ไม่มีความแตกต่าง,เบา
3,Primary generalized osteoarthrosis,ข้อเสื่อมโดยทั่วไปปฐมภูมิ,M15.0,Musculoskeletal,"ปวดข้อทั่วตัว ข้อแข็ง",อายุ พันธุกรรม,ปวดข้อ + X-ray เสื่อม,ข้ออักเสบ โรคข้อรูมาตอยด์,พิการ,50+ ปี,หญิงมากกว่าชาย,เบา กลาง
4,Cellulitis,เนื้อเยื่ออักเสบ,L03,Skin,"บวมแดง ร้อน เจ็บ บริเวณผิวหนัง",แผล ภูมิคุ้มกันต่ำ เบาหวาน,ผิวหนังบวมแดงร้อน + มีไข้,ติดเชื้อลึก ลิ่มเลือด,ติดเชื้อในกระแสเลือด,ทุกวัย,ไม่มีความแตกต่าง,กลาง รุนแรง
5,Dizziness and giddiness,วิงเวียน มึน,R42,Neurological,"วิงเวียน มึนงง ไม่ดุลยภาพ",ความดันต่ำ หูชั้นใน,วิงเวียน + ตรวจร่างกาย,โรคหู โรคสมอง,ล้ม บาดเจ็บ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
6,Headache,ปวดศีรษะ,R51,Neurological,"ปวดศีรษะ บางครั้งคลื่นไส้",เครียด ไม่พักผ่อน,ปวดศีรษะ,ไมเกรน เนื้องอกสมอง,ปวดเรื้อรัง,ทุกวัย,หญิงมากกว่าชายเล็กน้อย,เบา กลาง
7,Bacterial Food-Borne Intoxication,อาหารเป็นพิษจากเชื้อแบคทีเรีย,A05.9,Gastrointestinal,"ท้องเสีย ท้องร่วง อาเจียน มีไข้",อาหารปนเปื้อน,ท้องเสียหลังกินอาหาร,ไส้ติ่ง กระเพาะอักเสบ,ขาดน้ำ,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
8,Gastroenteritis and colitis,กระเพาะและลำไส้อักเสบ,A09,Gastrointestinal,"ท้องเสีย ท้องร่วง ปวดท้อง อาเจียน",ติดเชื้อ อาหารเป็นพิษ,ท้องเสีย + ปวดท้อง,ไส้ติ่ง โรคลำไส้,ขาดน้ำ โภชนาการต่ำ,ทุกวัย,เด็กเล็กเสี่ยงสูง,เบา กลาง
9,Fever of unknown origin,ไข้ไม่ทราบสาเหตุ,R50,General,"มีไข้ อ่อนเพลีย",ติดเชื้อ โรคภูมิคุ้มกัน,ไข้ >38°C ไม่พบสาเหตุ,ติดเชื้อ มะเร็ง,แทรกซ้อนจากโรค,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
10,Disorders of vestibular function,ความผิดปกติระบบทรงตัว,H81,ENT,"วิงเวียน เวียนศีรษะ คลื่นไส้",โรคหูชั้นใน,วิงเวียนหมุน + ตรวจหู,โรคสมอง ความดันต่ำ,ล้ม,ทุกวัย,ไม่มีความแตกต่าง,เบา กลาง
